YER007C-A|GO:0003723
YLR039C|GO:0000139; GO:0005085; GO:0005801; GO:0005829; GO:0006886; GO:0034066; GO:0042147
YDR296W|GO:0000002; GO:0000150; GO:0003697; GO:0003735; GO:0005634; GO:0005762; GO:0006355; GO:0034599; GO:0090297
YEL061C|GO:0000073; GO:0000235; GO:0000778; GO:0005524; GO:0005828; GO:0007018; GO:0007019; GO:0008017; GO:0008569; GO:0008574; GO:0033047; GO:0045144
YKR065C|GO:0001405; GO:0016021; GO:0030150
YGR216C|GO:0000506; GO:0006506; GO:0016021; GO:0017176
YGR113W|GO:0008608; GO:0031116; GO:0042729; GO:0042802; GO:0051010; GO:0051987; GO:0072686
YMR255W|GO:0005737; GO:0006406; GO:0044877
YOR254C|GO:0006614; GO:0008320; GO:0016021; GO:0031204; GO:0031207; GO:0046967
YBR296C|GO:0005886; GO:0015319; GO:0016021; GO:0035435; GO:0042802
YOR213C|GO:0000781; GO:0000790; GO:0004402; GO:0006348; GO:0033255
YML125C|GO:0001302; GO:0004128; GO:0005886; GO:0015031; GO:0016021
YKL191W|GO:0005737; GO:0016740; GO:0017183
YFR045W|GO:0016021
YHR094C|GO:0005353; GO:0005886; GO:0015146; GO:0015761; GO:0016021; GO:1904659
YKL058W|GO:0000979; GO:0005672; GO:0017025; GO:0051123
YKR006C|GO:0003735; GO:0005762
YMR053C|GO:0070822
YCL064C|GO:0003941; GO:0004794; GO:0006565; GO:0006567; GO:0030170; GO:0042645
YDL229W|GO:0005524
YMR005W|GO:0001102; GO:0003677; GO:0003682; GO:0005669; GO:0006352; GO:0006366
YBR260C|GO:0005096; GO:0005546; GO:0005933; GO:0006970; GO:0007165; GO:0010314; GO:0010447; GO:0030479; GO:0032266; GO:0042802; GO:0070273; GO:0080025
YJL184W|GO:0000032; GO:0000408; GO:0000722; GO:0000790; GO:0031490; GO:0045944
YMR028W|GO:0005829; GO:0009966; GO:0019898; GO:0031929; GO:0045943
YPR143W|GO:0000463; GO:0000466; GO:0030687
YLR193C|GO:0005758; GO:0031314; GO:0032048; GO:0045332; GO:1990050; GO:2001247
YPR083W|GO:0000001; GO:0000266; GO:0005739
YDR505C|GO:0000932
YER155C|GO:0000131; GO:0005085; GO:0005096; GO:0005886; GO:0005934; GO:0005938; GO:0007264; GO:0030036; GO:0035024; GO:0043332; GO:0044879
YHR112C|GO:0003824; GO:0005634; GO:0005737; GO:0019346; GO:0030170
YDL114W|GO:0016491
YIL062C|GO:0000001; GO:0003729; GO:0005885; GO:0030674; GO:0031315; GO:0034314; GO:0044396
YJL209W|GO:0000958; GO:0003729; GO:0009060; GO:0031314
YKL049C|GO:0000070; GO:0000776; GO:0000780; GO:0005729; GO:0019237; GO:0030543; GO:0043505; GO:0046982; GO:0051382; GO:0061644
YCL030C|GO:0000105; GO:0004399; GO:0004635; GO:0004636; GO:0005524; GO:0046872; GO:0051287
YJR057W|GO:0004550; GO:0004798; GO:0005524; GO:0005634; GO:0005737; GO:0006227; GO:0006233; GO:0006235; GO:0009041
YPL211W|GO:0000463; GO:0003723; GO:0005634; GO:0005737; GO:0030687; GO:0042255; GO:1902626
YGR097W|GO:0005737; GO:0016247; GO:0034599; GO:0044257; GO:0090372
YPR191W|GO:0004222; GO:0005750; GO:0006122; GO:0008121; GO:0009060; GO:0030061; GO:0046872
YOR323C|GO:0004350; GO:0005739; GO:0006561; GO:0050661
YPL134C|GO:0005310; GO:0005347; GO:0005743; GO:0006839; GO:0016021
YAR002C-A|GO:0005789; GO:0006621; GO:0006888; GO:0016021; GO:0030134
YDR448W|GO:0000124; GO:0000183; GO:0000781; GO:0001786; GO:0003677; GO:0003682; GO:0003713; GO:0004402; GO:0005671; GO:0006348; GO:0006357; GO:0008270; GO:0035066; GO:0046695; GO:1990414
YGL212W|GO:0000329; GO:0000407; GO:0005484; GO:0031201; GO:0032258; GO:0032266; GO:0034727; GO:0042144; GO:0061909
YOR103C|GO:0006487; GO:0008250; GO:0016021
YCL049C|GO:0016020
YAL034W-A|GO:0000278; GO:0000818; GO:0000922; GO:0007059; GO:0034501
YML014W|GO:0002098; GO:0005634; GO:0005737; GO:0006448; GO:0016300; GO:0035690
YNR008W|GO:0005637; GO:0005811; GO:0006672; GO:0008374; GO:0016021; GO:0019432; GO:0046027; GO:0055091; GO:0097038; GO:0140042
YBR119W|GO:0000398; GO:0005685; GO:0030619; GO:0071004
YLR384C|GO:0000049; GO:0002098; GO:0005634; GO:0005737; GO:0006357; GO:0033588; GO:0042802
YOR382W|GO:0009277; GO:0015891
YAL055W|GO:0016021; GO:0016562; GO:0097027; GO:1902499
YER003C|GO:0000032; GO:0004476; GO:0005975; GO:0006486; GO:0008270; GO:0009298
YML051W|GO:0000122; GO:0001102; GO:0005634; GO:0005737; GO:0006012; GO:0016491; GO:0019210; GO:0042802; GO:0043433
YLR086W|GO:0000790; GO:0000799; GO:0003682; GO:0003690; GO:0003697; GO:0005524; GO:0005737; GO:0007076; GO:0016887; GO:0070058; GO:0070550; GO:1990814
YLL010C|GO:0016791
YJL164C|GO:0000790; GO:0004691; GO:0005524; GO:0005737; GO:0005952; GO:0007265; GO:0010607; GO:0010737; GO:0016241; GO:0018105
YJR133W|GO:0000310; GO:0004422; GO:0009116; GO:0032265; GO:0046100
YOL144W|GO:0000463; GO:0003723; GO:0005730
YGL125W|GO:0004489; GO:0009086; GO:0035999
