Dataset,Nodes,Essential(labelled),Threshold_paper(3sigma),Accuracy_paper,MSE_paper,Threshold_Youden,Accuracy_Youden,MSE_Youden,ROC_AUC,PR_AUC
YDIP,5093,1167,1.5178223344927924,0.7769487531906538,0.22305124680934615,0.16346153846153846,0.699391321421559,0.300608678578441,0.6948503396817124,0.4150959983203739
YHQ,4683,1100,14.980832161993415,0.7663890668374973,0.23361093316250267,0.2095238095238095,0.7196241725389707,0.28037582746102924,0.7046385710298633,0.3906295391175093
YMBD,2320,718,19.756969936841678,0.659051724137931,0.34094827586206894,0.05405405405405406,0.6086206896551725,0.3913793103448276,0.6084264446600525,0.3493532636160045
YMIPS,4546,1016,1.1011843921757651,0.7564892212934448,0.24351077870655521,0.1845238095238095,0.7113946326440828,0.2886053673559173,0.577224604626263,0.27252026922279093
